日付け,終値,始値,高値,安値,出来高,変化率 %,log(出来高),year,month,date,曜日,変化率_数値,week,変動幅,中間値
1987-02-12,182.4,182.4,182.4,182.4,1.28B,16.25%,9.107209969647869,1987,2,12,3,16.25,0,0.0,182.4
1987-02-13,172.5,176.5,176.5,172.5,422.38M,-5.43%,8.625703345853227,1987,2,13,4,-5.43,0,4.0,174.5
1987-02-16,175.5,166.7,175.5,165.7,360.51M,1.74%,8.556917315892022,1987,2,16,0,1.74,1,9.800000000000011,170.6
1987-02-17,182.4,176.5,184.3,175.5,881.51M,3.93%,8.945227243374065,1987,2,17,1,3.93,1,8.800000000000011,179.9
1987-02-18,191.2,186.3,191.2,186.3,795.09M,4.82%,8.900416291286778,1987,2,18,2,4.82,1,4.899999999999977,188.75
1987-02-19,196.1,196.1,196.1,193.1,748.25M,2.56%,8.87404672551223,1987,2,19,3,2.56,1,3.0,194.6
1987-02-20,210.8,200.0,211.8,200.0,902.27M,7.50%,8.955336517546032,1987,2,20,4,7.5,1,11.800000000000011,205.9
1987-02-23,235.3,214.7,235.3,211.8,798.79M,11.62%,8.902432619328355,1987,2,23,0,11.62,2,23.5,223.55
1987-02-24,270.6,258.8,272.5,257.8,605.42M,15.00%,8.78205676374009,1987,2,24,1,15.0,2,14.699999999999989,265.15
1987-02-25,252.9,258.8,262.7,252.0,733.93M,-6.54%,8.865654640211103,1987,2,25,2,-6.54,2,10.699999999999989,257.35
1987-02-26,247.1,256.9,261.8,243.1,349.45M,-2.29%,8.543385044809844,1987,2,26,3,-2.29,2,18.700000000000017,252.45
1987-02-27,253.9,250.0,262.7,244.1,347.71M,2.75%,8.541217180997805,1987,2,27,4,2.75,2,18.599999999999994,253.39999999999998
1987-03-02,263.7,265.7,267.6,259.8,320.11M,3.86%,8.505299241394939,1987,3,2,0,3.86,3,7.800000000000011,263.70000000000005
1987-03-03,274.5,267.6,274.5,263.7,610.98M,4.10%,8.786026994151229,1987,3,3,1,4.1,3,10.800000000000011,269.1
1987-03-04,284.3,294.1,295.1,283.3,723.71M,3.57%,8.859564573613776,1987,3,4,2,3.57,3,11.800000000000011,289.20000000000005
1987-03-05,287.3,280.4,293.1,280.4,246.33M,1.06%,8.39151730684945,1987,3,5,3,1.06,3,12.700000000000045,286.75
1987-03-06,282.4,293.1,293.1,281.4,224.72M,-1.71%,8.351641726193522,1987,3,6,4,-1.71,3,11.700000000000045,287.25
1987-03-09,280.4,287.3,288.2,280.4,91.80M,-0.71%,7.962842681201242,1987,3,9,0,-0.71,4,7.800000000000011,284.29999999999995
1987-03-10,276.5,276.5,280.4,275.5,119.44M,-1.39%,8.077149794716968,1987,3,10,1,-1.39,4,4.899999999999977,277.95
1987-03-11,280.4,280.4,283.3,276.5,166.10M,1.41%,8.220369632451394,1987,3,11,2,1.41,4,6.800000000000011,279.9
1987-03-12,284.3,284.3,284.3,280.4,163.92M,1.39%,8.214631945393139,1987,3,12,3,1.39,4,3.900000000000034,282.35
1987-03-13,284.3,289.2,289.2,284.3,185.14M,0.00%,8.267500259393266,1987,3,13,4,0.0,4,4.899999999999977,286.75
1987-03-16,280.4,285.3,287.3,280.4,78.93M,-1.37%,7.897242102805365,1987,3,16,0,-1.37,5,6.900000000000034,283.85
1987-03-17,277.5,279.4,281.4,276.5,97.93M,-1.03%,7.9909157545060845,1987,3,17,1,-1.03,5,4.899999999999977,278.95
1987-03-18,274.5,278.4,281.4,274.5,110.37M,-1.08%,8.04285104255079,1987,3,18,2,-1.08,5,6.899999999999977,277.95
1987-03-19,263.7,274.5,276.5,261.8,133.98M,-3.93%,8.127039970213595,1987,3,19,3,-3.93,5,14.699999999999989,269.15
1987-03-20,259.8,259.8,261.8,254.9,156.53M,-1.48%,8.194597585242509,1987,3,20,4,-1.48,5,6.900000000000006,258.35
1987-03-23,260.8,263.7,267.6,260.8,77.61M,0.38%,7.889917683436206,1987,3,23,0,0.38,6,6.800000000000011,264.20000000000005
1987-03-24,256.9,264.7,264.7,256.9,77.28M,-1.50%,7.888067113407437,1987,3,24,1,-1.5,6,7.800000000000011,260.79999999999995
1987-03-25,254.9,255.9,256.9,252.9,128.84M,-0.78%,8.110050716147654,1987,3,25,2,-0.78,6,3.9999999999999716,254.89999999999998
1987-03-26,262.7,258.8,264.7,255.9,157.06M,3.06%,8.196065593116304,1987,3,26,3,3.06,6,8.799999999999983,260.3
1987-03-27,274.5,267.6,284.3,263.7,396.15M,4.49%,8.597859660262605,1987,3,27,4,4.49,6,20.600000000000023,274.0
1987-03-30,259.8,277.5,279.4,257.8,93.75M,-5.36%,7.971971276399756,1987,3,30,0,-5.36,7,21.599999999999966,268.6
1987-03-31,265.7,252.0,274.5,251.0,119.49M,2.27%,8.077331561128991,1987,3,31,1,2.27,7,23.5,262.75
1987-04-01,275.5,277.5,279.4,271.6,221.50M,3.69%,8.34537373055909,1987,4,1,2,3.69,7,7.7999999999999545,275.5
1987-04-02,271.6,279.4,279.4,271.6,79.48M,-1.42%,7.900257858437778,1987,4,2,3,-1.42,7,7.7999999999999545,275.5
1987-04-03,277.5,279.4,280.4,272.5,192.55M,2.17%,8.28454352295875,1987,4,3,4,2.17,7,7.899999999999977,276.45
1987-04-06,271.6,284.3,284.3,270.6,129.44M,-2.13%,8.112068504268198,1987,4,6,0,-2.13,8,13.699999999999989,277.45000000000005
1987-04-07,274.5,278.4,278.4,273.5,51.12M,1.07%,7.7085908451503435,1987,4,7,1,1.07,8,4.899999999999977,275.95
1987-04-08,273.5,274.5,275.5,271.6,67.73M,-0.36%,7.830781075606361,1987,4,8,2,-0.36,8,3.8999999999999773,273.55
1987-04-09,269.6,272.5,273.5,265.7,52.87M,-1.43%,7.723209310405111,1987,4,9,3,-1.43,8,7.800000000000011,269.6
1987-04-10,263.7,263.7,268.6,263.7,73.81M,-2.19%,7.868115205327217,1987,4,10,4,-2.19,8,4.900000000000034,266.15
1987-04-13,262.7,264.7,266.7,260.8,50.81M,-0.38%,7.705949194910295,1987,4,13,0,-0.38,9,5.899999999999977,263.75
1987-04-14,271.6,261.8,276.5,259.8,92.04M,3.39%,7.963976609996606,1987,4,14,1,3.39,9,16.69999999999999,268.15
1987-04-15,265.7,275.5,275.5,265.7,151.58M,-2.17%,8.180641902729832,1987,4,15,2,-2.17,9,9.800000000000011,270.6
1987-04-16,273.5,273.5,273.5,269.6,70.78M,2.94%,7.849910558301496,1987,4,16,3,2.94,9,3.8999999999999773,271.55
1987-04-17,284.3,273.5,284.3,270.6,394.21M,3.95%,8.595727636913832,1987,4,17,4,3.95,9,13.699999999999989,277.45000000000005
1987-04-20,294.1,286.3,295.1,285.3,665.79M,3.45%,8.823337267874669,1987,4,20,0,3.45,10,9.800000000000011,290.20000000000005
1987-04-21,304.9,299.0,308.8,298.0,683.96M,3.67%,8.835030703639353,1987,4,21,1,3.67,10,10.800000000000011,303.4
1987-04-22,301.0,309.8,311.8,301.0,383.15M,-1.28%,8.583368829892706,1987,4,22,2,-1.28,10,10.800000000000011,306.4
1987-04-23,302.9,302.0,304.9,296.1,172.43M,0.63%,8.23661282819977,1987,4,23,3,0.63,10,8.799999999999955,300.5
1987-04-24,299.0,305.9,308.8,299.0,223.28M,-1.29%,8.348849823480574,1987,4,24,4,-1.29,10,9.800000000000011,303.9
1987-04-27,289.2,299.0,302.0,289.2,187.61M,-3.28%,8.273255983451751,1987,4,27,0,-3.28,11,12.800000000000011,295.6
1987-04-28,284.3,286.3,292.2,275.5,199.91M,-1.69%,8.300834519161612,1987,4,28,1,-1.69,11,16.69999999999999,283.85
1987-04-30,287.3,292.2,292.2,285.3,88.34M,1.06%,7.9461573949223725,1987,4,30,3,1.06,11,6.899999999999977,288.75
1987-05-01,299.0,292.2,302.0,289.2,234.25M,4.07%,8.369679599559817,1987,5,1,4,4.07,11,12.800000000000011,295.6
1987-05-06,299.0,304.9,306.9,298.0,134.82M,0.00%,8.129754322802773,1987,5,6,2,0.0,12,8.899999999999977,302.45
1987-05-07,303.9,303.9,305.9,301.0,180.24M,1.64%,8.255851178715774,1987,5,7,3,1.64,12,4.899999999999977,303.45
1987-05-08,304.9,305.9,308.8,302.9,243.17M,0.33%,8.385909994786097,1987,5,8,4,0.33,12,5.900000000000034,305.85
1987-05-11,305.9,305.9,308.8,303.9,126.67M,0.33%,8.102673770548927,1987,5,11,0,0.33,13,4.900000000000034,306.35
1987-05-12,297.1,302.9,302.9,297.1,124.02M,-2.88%,8.093491727010932,1987,5,12,1,-2.88,13,5.7999999999999545,300.0
1987-05-13,292.2,295.1,297.1,289.2,114.61M,-1.65%,8.05922251252969,1987,5,13,2,-1.65,13,7.900000000000034,293.15
1987-05-14,290.2,292.2,295.1,290.2,65.13M,-0.68%,7.813781071505965,1987,5,14,3,-0.68,13,4.900000000000034,292.65
1987-05-15,288.2,292.2,293.1,287.3,64.25M,-0.69%,7.8078731320033326,1987,5,15,4,-0.69,13,5.800000000000011,290.20000000000005
1987-05-18,282.4,284.3,286.3,282.4,91.49M,-2.01%,7.961373627594801,1987,5,18,0,-2.01,14,3.900000000000034,284.35
1987-05-19,282.4,282.4,285.3,282.4,75.14M,0.00%,7.8758711907273655,1987,5,19,1,0.0,14,2.900000000000034,283.85
1987-05-20,277.5,279.4,281.4,276.5,76.08M,-1.74%,7.881270503929358,1987,5,20,2,-1.74,14,4.899999999999977,278.95
1987-05-21,279.4,279.4,282.4,277.5,52.70M,0.68%,7.721810615212546,1987,5,21,3,0.68,14,4.899999999999977,279.95
1987-05-22,282.4,281.4,284.3,281.4,43.73M,1.07%,7.640779477344857,1987,5,22,4,1.07,14,2.900000000000034,282.85
1987-05-25,279.4,283.3,284.3,279.4,31.84M,-1.06%,7.502973059065631,1987,5,25,0,-1.06,15,4.900000000000034,281.85
1987-05-26,279.4,280.4,282.4,279.4,39.00M,0.00%,7.5910646070264995,1987,5,26,1,0.0,15,3.0,280.9
1987-05-27,281.4,280.4,284.3,279.4,91.14M,0.72%,7.95970902424643,1987,5,27,2,0.72,15,4.900000000000034,281.85
1987-05-28,278.4,280.4,282.4,278.4,45.49M,-1.07%,7.657915936829955,1987,5,28,3,-1.07,15,4.0,280.4
1987-05-29,279.4,282.4,284.3,279.4,39.80M,0.36%,7.599883072073688,1987,5,29,4,0.36,15,4.900000000000034,281.85
1987-06-01,279.4,282.4,283.3,279.4,33.34M,0.00%,7.5229655954919865,1987,6,1,0,0.0,16,3.900000000000034,281.35
1987-06-02,278.4,280.4,280.4,278.4,34.20M,-0.36%,7.534026106056135,1987,6,2,1,-0.36,16,2.0,279.4
1987-06-03,277.5,277.5,279.4,277.5,36.81M,-0.32%,7.565965817446667,1987,6,3,2,-0.32,16,1.8999999999999773,278.45
1987-06-04,280.4,279.4,282.4,277.5,45.45M,1.05%,7.657533887557986,1987,6,4,3,1.05,16,4.899999999999977,279.95
1987-06-05,277.5,279.4,281.4,277.5,41.07M,-1.03%,7.613524702853653,1987,6,5,4,-1.03,16,3.8999999999999773,279.45
1987-06-08,277.5,278.4,279.4,277.5,26.24M,0.00%,7.418963830703623,1987,6,8,0,0.0,17,1.8999999999999773,278.45
1987-06-09,279.4,277.5,279.4,277.5,28.53M,0.68%,7.455301771657076,1987,6,9,1,0.68,17,1.8999999999999773,278.45
1987-06-10,279.4,278.4,281.4,277.5,51.59M,0.00%,7.712565527873308,1987,6,10,2,0.0,17,3.8999999999999773,279.45
1987-06-11,281.4,280.4,284.3,279.4,66.47M,0.72%,7.82262567877414,1987,6,11,3,0.72,17,4.900000000000034,281.85
1987-06-12,281.4,283.3,285.3,281.4,87.44M,0.00%,7.941710148941646,1987,6,12,4,0.0,17,3.900000000000034,283.35
1987-06-15,280.4,281.4,284.3,280.4,22.88M,-0.36%,7.359456020120986,1987,6,15,0,-0.36,18,3.900000000000034,282.35
1987-06-16,279.4,280.4,281.4,279.4,29.72M,-0.36%,7.4730488050885375,1987,6,16,1,-0.36,18,2.0,280.4
1987-06-17,277.5,278.4,279.4,277.5,67.79M,-0.68%,7.831165633909443,1987,6,17,2,-0.68,18,1.8999999999999773,278.45
1987-06-18,269.6,277.5,278.4,264.7,92.36M,-2.85%,7.965483924245139,1987,6,18,3,-2.85,18,13.699999999999989,271.54999999999995
1987-06-19,257.8,265.7,268.6,255.9,124.46M,-4.38%,8.095029796648452,1987,6,19,4,-4.38,18,12.700000000000017,262.25
1987-06-22,248.0,255.9,257.8,248.0,85.17M,-3.80%,7.93028664724552,1987,6,22,0,-3.8,19,9.800000000000011,252.9
1987-06-23,258.8,252.0,259.8,252.0,79.16M,4.35%,7.898505785534359,1987,6,23,1,4.35,19,7.800000000000011,255.9
1987-06-24,256.9,259.8,264.7,256.9,45.74M,-0.73%,7.66029616027073,1987,6,24,2,-0.73,19,7.800000000000011,260.79999999999995
1987-06-25,252.9,256.9,259.8,252.9,23.29M,-1.56%,7.367169488534681,1987,6,25,3,-1.56,19,6.900000000000006,256.35
1987-06-26,252.0,252.9,254.9,252.0,25.58M,-0.36%,7.407900540142635,1987,6,26,4,-0.36,19,2.9000000000000057,253.45
1987-06-29,248.0,250.0,250.0,245.1,52.42M,-1.59%,7.719497016610582,1987,6,29,0,-1.59,20,4.900000000000006,247.55
1987-06-30,243.1,246.1,247.1,243.1,51.51M,-1.98%,7.711891549880579,1987,6,30,1,-1.98,20,4.0,245.1
1987-07-01,249.0,241.2,252.9,238.2,102.35M,2.43%,8.010087846998525,1987,7,1,2,2.43,20,14.700000000000017,245.55
1987-07-02,253.9,251.0,254.9,251.0,30.60M,1.97%,7.48572142648158,1987,7,2,3,1.97,20,3.9000000000000057,252.95
1987-07-03,245.1,251.0,252.9,245.1,26.36M,-3.47%,7.420945405921972,1987,7,3,4,-3.47,20,7.800000000000011,249.0
